Date Time, Water Level, Sigma, I, L 
2015-09-01 00:00,0.271,0.104,0,0
2015-09-01 01:00,0.393,0.098,0,0
2015-09-01 02:00,0.622,0.000,1,0
2015-09-01 03:00,0.990,0.086,0,0
2015-09-01 04:00,1.379,0.084,0,0
2015-09-01 05:00,1.692,0.066,0,0
2015-09-01 06:00,1.808,0.000,0,0
2015-09-01 07:00,1.721,0.000,0,0
2015-09-01 08:00,1.460,0.086,0,0
2015-09-01 09:00,1.075,0.000,0,0
2015-09-01 10:00,0.663,0.088,0,0
2015-09-01 11:00,0.335,0.000,1,0
2015-09-01 12:00,0.184,0.000,1,0
2015-09-01 13:00,0.210,0.074,0,0
2015-09-01 14:00,0.398,0.080,0,0
2015-09-01 15:00,0.771,0.120,0,0
2015-09-01 16:00,1.163,0.100,0,0
2015-09-01 17:00,1.533,0.095,0,0
2015-09-01 18:00,1.796,0.099,0,0
2015-09-01 19:00,1.874,0.088,0,0
2015-09-01 20:00,1.700,0.000,0,0
2015-09-01 21:00,1.372,0.086,0,0
2015-09-01 22:00,0.981,0.000,0,0
2015-09-01 23:00,0.628,0.000,0,0
2015-09-02 00:00,0.387,0.100,0,0
2015-09-02 01:00,0.285,0.092,0,0
2015-09-02 02:00,0.372,0.095,0,0
2015-09-02 03:00,0.637,0.101,0,0
2015-09-02 04:00,0.968,0.000,1,0
2015-09-02 05:00,1.276,0.079,0,0
2015-09-02 06:00,1.506,0.000,1,0
2015-09-02 07:00,1.620,0.115,0,0
2015-09-02 08:00,1.511,0.087,0,0
2015-09-02 09:00,1.265,0.092,0,0
2015-09-02 10:00,0.964,0.000,0,0
2015-09-02 11:00,0.640,0.104,0,0
2015-09-02 12:00,0.422,0.091,0,0
2015-09-02 13:00,0.344,0.064,0,0
2015-09-02 14:00,0.407,0.089,0,0
2015-09-02 15:00,0.629,0.075,0,0
2015-09-02 16:00,0.966,0.072,0,0
2015-09-02 17:00,1.308,0.099,0,0
2015-09-02 18:00,1.634,0.089,0,0
2015-09-02 19:00,1.821,0.065,0,0
2015-09-02 20:00,1.798,0.065,0,0
