Date Time, Water Level, Sigma, I, L 
2015-12-01 00:00,0.656,0.000,1,0
2015-12-01 01:00,0.412,0.083,0,0
2015-12-01 02:00,0.255,0.110,0,0
2015-12-01 03:00,0.197,0.076,0,0
2015-12-01 04:00,0.254,0.101,0,0
2015-12-01 05:00,0.448,0.099,0,0
2015-12-01 06:00,0.676,0.082,0,0
2015-12-01 07:00,0.927,0.000,1,0
2015-12-01 08:00,1.150,0.100,0,0
2015-12-01 09:00,1.254,0.085,0,0
2015-12-01 10:00,1.302,0.111,0,0
2015-12-01 11:00,1.272,0.083,0,0
2015-12-01 12:00,1.196,0.000,1,0
2015-12-01 13:00,1.095,0.000,1,0
2015-12-01 14:00,1.039,0.000,1,0
2015-12-01 15:00,0.976,0.084,0,0
2015-12-01 16:00,1.027,0.096,0,0
2015-12-01 17:00,1.106,0.106,0,0
2015-12-01 18:00,1.228,0.110,0,0
2015-12-01 19:00,1.344,0.000,0,0
2015-12-01 20:00,1.403,0.103,0,0
2015-12-01 21:00,1.381,0.135,0,0
2015-12-01 22:00,1.263,0.115,0,0
2015-12-01 23:00,1.122,0.145,0,0
2015-12-02 00:00,0.910,0.142,0,0
2015-12-02 01:00,0.663,0.137,0,0
2015-12-02 02:00,0.470,0.000,0,0
2015-12-02 03:00,0.342,0.121,0,0
2015-12-02 04:00,0.272,0.000,1,0
2015-12-02 05:00,0.359,0.000,0,0
2015-12-02 06:00,0.490,0.101,0,0
2015-12-02 07:00,0.720,0.105,0,0
2015-12-02 08:00,0.944,0.000,1,0
2015-12-02 09:00,1.135,0.121,0,0
2015-12-02 10:00,1.284,0.089,0,0
2015-12-02 11:00,1.340,0.000,1,0
2015-12-02 12:00,1.311,0.000,1,0
2015-12-02 13:00,1.237,0.000,1,0
2015-12-02 14:00,1.130,0.111,0,0
2015-12-02 15:00,1.022,0.096,0,0
2015-12-02 16:00,0.959,0.000,0,0
2015-12-02 17:00,0.966,0.000,1,0
2015-12-02 18:00,0.987,0.138,0,0
2015-12-02 19:00,1.061,0.000,1,0
2015-12-02 20:00,1.142,0.000,0,0
2015-12-02 21:00,1.210,0.106,0,0
2015-12-02 22:00,1.223,0.109,0,0
2015-12-02 23:00,1.200,0.000,0,0
2015-12-03 00:00,1.062,0.105,0,0
2015-12-03 01:00,0.900,0.000,1,0
2015-12-03 02:00,0.729,0.115,0,0
2015-12-03 03:00,0.558,0.093,0,0
2015-12-03 04:00,0.444,0.099,0,0
2015-12-03 05:00,0.429,0.000,0,0
2015-12-03 06:00,0.482,0.000,1,0
2015-12-03 07:00,0.628,0.101,0,0
2015-12-03 08:00,0.823,0.073,0,0
