Date Time, Water Level, Sigma, I, L 
2015-09-01 00:00,0.289,0.027,0,0
2015-09-01 01:00,0.384,0.024,0,0
2015-09-01 02:00,0.611,0.029,0,0
2015-09-01 03:00,1.017,0.031,0,0
2015-09-01 04:00,1.394,0.030,0,0
2015-09-01 05:00,1.731,0.021,0,0
2015-09-01 06:00,1.864,0.029,0,0
2015-09-01 07:00,1.803,0.043,0,0
2015-09-01 08:00,1.591,0.039,0,0
2015-09-01 09:00,1.184,0.028,0,0
2015-09-01 10:00,0.758,0.030,0,0
2015-09-01 11:00,0.427,0.027,0,0
2015-09-01 12:00,0.227,0.024,0,0
2015-09-01 13:00,0.220,0.028,0,0
2015-09-01 14:00,0.364,0.022,0,0
2015-09-01 15:00,0.745,0.024,0,0
2015-09-01 16:00,1.181,0.039,0,0
2015-09-01 17:00,1.575,0.037,0,0
2015-09-01 18:00,1.838,0.041,0,0
2015-09-01 19:00,1.920,0.041,0,0
2015-09-01 20:00,1.792,0.031,0,0
2015-09-01 21:00,1.477,0.033,0,0
2015-09-01 22:00,1.106,0.029,0,0
2015-09-01 23:00,0.737,0.040,0,0
2015-09-02 00:00,0.455,0.017,0,0
2015-09-02 01:00,0.343,0.022,0,0
2015-09-02 02:00,0.394,0.022,0,0
2015-09-02 03:00,0.633,0.032,0,0
2015-09-02 04:00,0.960,0.030,0,0
2015-09-02 05:00,1.282,0.028,0,0
2015-09-02 06:00,1.531,0.035,0,0
2015-09-02 07:00,1.668,0.023,0,0
2015-09-02 08:00,1.593,0.030,0,0
2015-09-02 09:00,1.404,0.028,0,0
2015-09-02 10:00,1.088,0.030,0,0
2015-09-02 11:00,0.754,0.025,0,0
2015-09-02 12:00,0.523,0.027,0,0
2015-09-02 13:00,0.383,0.027,0,0
2015-09-02 14:00,0.425,0.025,0,0
2015-09-02 15:00,0.630,0.024,0,0
2015-09-02 16:00,0.984,0.023,0,0
2015-09-02 17:00,1.340,0.026,0,0
2015-09-02 18:00,1.669,0.032,0,0
2015-09-02 19:00,1.877,0.047,0,0
2015-09-02 20:00,1.886,0.045,0,0
2015-09-02 21:00,1.727,0.032,0,0
2015-09-02 22:00,1.429,0.028,0,0
2015-09-02 23:00,1.089,0.029,0,0
2015-09-03 00:00,0.726,0.021,0,0
2015-09-03 01:00,0.508,0.020,0,0
2015-09-03 02:00,0.377,0.019,0,0
2015-09-03 03:00,0.426,0.031,0,0
2015-09-03 04:00,0.589,0.024,0,0
2015-09-03 05:00,0.859,0.018,0,0
2015-09-03 06:00,1.136,0.027,0,0
2015-09-03 07:00,1.302,0.025,0,0
2015-09-03 08:00,1.435,0.024,0,0
2015-09-03 09:00,1.388,0.038,0,0
2015-09-03 10:00,1.256,0.025,0,0
2015-09-03 11:00,1.054,0.024,0,0
2015-09-03 12:00,0.813,0.030,0,0
2015-09-03 13:00,0.662,0.022,0,0
2015-09-03 14:00,0.582,0.026,0,0
2015-09-03 15:00,0.649,0.025,0,0
2015-09-03 16:00,0.847,0.023,0,0
2015-09-03 17:00,1.142,0.025,0,0
2015-09-03 18:00,1.437,0.025,0,0
2015-09-03 19:00,1.697,0.039,0,0
2015-09-03 20:00,1.830,0.037,0,0
2015-09-03 21:00,1.833,0.023,0,0
2015-09-03 22:00,1.688,0.029,0,0
2015-09-03 23:00,1.436,0.031,0,0
2015-09-04 00:00,1.104,0.025,0,0
2015-09-04 01:00,0.836,0.023,0,0
2015-09-04 02:00,0.586,0.027,0,0
2015-09-04 03:00,0.453,0.021,0,0
