Date Time, Water Level, Sigma, I, L 
2015-12-01 00:00,0.721,0.031,0,0
2015-12-01 01:00,0.473,0.030,0,0
2015-12-01 02:00,0.281,0.033,0,0
2015-12-01 03:00,0.219,0.020,0,0
2015-12-01 04:00,0.269,0.026,0,0
2015-12-01 05:00,0.437,0.030,0,0
2015-12-01 06:00,0.682,0.023,0,0
2015-12-01 07:00,0.952,0.017,0,0
2015-12-01 08:00,1.160,0.021,0,0
2015-12-01 09:00,1.295,0.030,0,0
2015-12-01 10:00,1.345,0.031,0,0
2015-12-01 11:00,1.335,0.024,0,0
2015-12-01 12:00,1.267,0.036,0,0
2015-12-01 13:00,1.150,0.043,0,0
2015-12-01 14:00,1.083,0.024,0,0
2015-12-01 15:00,1.025,0.018,0,0
2015-12-01 16:00,1.058,0.026,0,0
2015-12-01 17:00,1.127,0.029,0,0
2015-12-01 18:00,1.269,0.029,0,0
2015-12-01 19:00,1.362,0.030,0,0
2015-12-01 20:00,1.431,0.028,0,0
2015-12-01 21:00,1.425,0.026,0,0
2015-12-01 22:00,1.334,0.031,0,0
2015-12-01 23:00,1.177,0.021,0,0
2015-12-02 00:00,0.951,0.032,0,0
2015-12-02 01:00,0.727,0.025,0,0
2015-12-02 02:00,0.523,0.018,0,0
2015-12-02 03:00,0.360,0.018,0,0
2015-12-02 04:00,0.330,0.027,0,0
2015-12-02 05:00,0.371,0.027,0,0
2015-12-02 06:00,0.496,0.026,0,0
2015-12-02 07:00,0.721,0.022,0,0
2015-12-02 08:00,0.947,0.019,0,0
2015-12-02 09:00,1.164,0.024,0,0
2015-12-02 10:00,1.326,0.033,0,0
2015-12-02 11:00,1.382,0.026,0,0
2015-12-02 12:00,1.367,0.029,0,0
2015-12-02 13:00,1.282,0.026,0,0
2015-12-02 14:00,1.202,0.023,0,0
2015-12-02 15:00,1.080,0.025,0,0
2015-12-02 16:00,1.019,0.018,0,0
2015-12-02 17:00,0.981,0.020,0,0
2015-12-02 18:00,0.980,0.021,0,0
2015-12-02 19:00,1.057,0.022,0,0
2015-12-02 20:00,1.170,0.030,0,0
2015-12-02 21:00,1.253,0.025,0,0
2015-12-02 22:00,1.290,0.029,0,0
2015-12-02 23:00,1.266,0.023,0,0
2015-12-03 00:00,1.141,0.030,0,0
2015-12-03 01:00,0.987,0.022,0,0
2015-12-03 02:00,0.797,0.030,0,0
2015-12-03 03:00,0.612,0.026,0,0
2015-12-03 04:00,0.512,0.018,0,0
2015-12-03 05:00,0.451,0.019,0,0
2015-12-03 06:00,0.484,0.020,0,0
2015-12-03 07:00,0.632,0.017,0,0
2015-12-03 08:00,0.852,0.019,0,0
2015-12-03 09:00,1.091,0.020,0,0
2015-12-03 10:00,1.299,0.017,0,0
2015-12-03 11:00,1.424,0.022,0,0
2015-12-03 12:00,1.483,0.026,0,0
2015-12-03 13:00,1.469,0.024,0,0
2015-12-03 14:00,1.375,0.023,0,0
2015-12-03 15:00,1.222,0.030,0,0
2015-12-03 16:00,1.069,0.021,0,0
2015-12-03 17:00,0.965,0.019,0,0
2015-12-03 18:00,0.901,0.022,0,0
2015-12-03 19:00,0.910,0.027,0,0
2015-12-03 20:00,0.984,0.021,0,0
2015-12-03 21:00,1.067,0.019,0,0
2015-12-03 22:00,1.133,0.023,0,0
2015-12-03 23:00,1.198,0.023,0,0
2015-12-04 00:00,1.206,0.023,0,0
2015-12-04 01:00,1.161,0.036,0,0
2015-12-04 02:00,1.015,0.031,0,0
2015-12-04 03:00,0.857,0.028,0,0
2015-12-04 04:00,0.659,0.028,0,0
2015-12-04 05:00,0.537,0.024,0,0
2015-12-04 06:00,0.522,0.031,0,0
2015-12-04 07:00,0.581,0.038,0,0
2015-12-04 08:00,0.744,0.019,0,0
2015-12-04 09:00,0.951,0.028,0,0
2015-12-04 10:00,1.170,0.026,0,0
2015-12-04 11:00,1.384,0.023,0,0
2015-12-04 12:00,1.525,0.030,0,0
2015-12-04 13:00,1.591,0.042,0,0
2015-12-04 14:00,1.546,0.033,0,0
2015-12-04 15:00,1.376,0.035,0,0
2015-12-04 16:00,1.194,0.030,0,0
2015-12-04 17:00,1.011,0.026,0,0
2015-12-04 18:00,0.837,0.027,0,0
2015-12-04 19:00,0.767,0.024,0,0
2015-12-04 20:00,0.748,0.034,0,0
2015-12-04 21:00,0.812,0.030,0,0
2015-12-04 22:00,0.936,0.030,0,0
2015-12-04 23:00,1.060,0.033,0,0
2015-12-05 00:00,1.163,0.040,0,0
2015-12-05 01:00,1.190,0.038,0,0
2015-12-05 02:00,1.143,0.032,0,0
2015-12-05 03:00,1.028,0.021,0,0
2015-12-05 04:00,0.864,0.035,0,0
2015-12-05 05:00,0.706,0.032,0,0
2015-12-05 06:00,0.608,0.036,0,0
2015-12-05 07:00,0.587,0.029,0,0
2015-12-05 08:00,0.673,0.034,0,0
2015-12-05 09:00,0.840,0.029,0,0
2015-12-05 10:00,1.047,0.040,0,0
2015-12-05 11:00,1.294,0.046,0,0
2015-12-05 12:00,1.532,0.048,0,0
2015-12-05 13:00,1.635,0.043,0,0
2015-12-05 14:00,1.635,0.041,0,0
2015-12-05 15:00,1.519,0.024,0,0
2015-12-05 16:00,1.337,0.039,0,0
2015-12-05 17:00,1.083,0.054,0,0
2015-12-05 18:00,0.861,0.042,0,0
2015-12-05 19:00,0.662,0.045,0,0
2015-12-05 20:00,0.544,0.047,0,0
2015-12-05 21:00,0.589,0.033,0,0
2015-12-05 22:00,0.675,0.038,0,0
2015-12-05 23:00,0.880,0.025,0,0
2015-12-06 00:00,1.056,0.031,0,0
2015-12-06 01:00,1.221,0.038,0,0
2015-12-06 02:00,1.240,0.042,0,0
2015-12-06 03:00,1.173,0.029,0,0
2015-12-06 04:00,1.005,0.017,0,0
2015-12-06 05:00,0.839,0.039,0,0
2015-12-06 06:00,0.699,0.026,0,0
2015-12-06 07:00,0.631,0.020,0,0
2015-12-06 08:00,0.657,0.032,0,0
2015-12-06 09:00,0.768,0.022,0,0
2015-12-06 10:00,0.994,0.027,0,0
2015-12-06 11:00,1.211,0.049,0,0
2015-12-06 12:00,1.488,0.024,0,0
2015-12-06 13:00,1.666,0.034,0,0
2015-12-06 14:00,1.745,0.034,0,0
2015-12-06 15:00,1.678,0.035,0,0
2015-12-06 16:00,1.483,0.032,0,0
2015-12-06 17:00,1.210,0.034,0,0
2015-12-06 18:00,0.918,0.023,0,0
2015-12-06 19:00,0.651,0.025,0,0
2015-12-06 20:00,0.488,0.023,0,0
2015-12-06 21:00,0.431,0.023,0,0
2015-12-06 22:00,0.512,0.017,0,0
2015-12-06 23:00,0.708,0.025,0,0
2015-12-07 00:00,0.949,0.023,0,0
2015-12-07 01:00,1.113,0.023,0,0
2015-12-07 02:00,1.277,0.033,0,0
2015-12-07 03:00,1.317,0.030,0,0
2015-12-07 04:00,1.210,0.022,0,0
2015-12-07 05:00,1.046,0.025,0,0
2015-12-07 06:00,0.881,0.026,0,0
2015-12-07 07:00,0.752,0.024,0,0
2015-12-07 08:00,0.700,0.023,0,0
2015-12-07 09:00,0.771,0.024,0,0
2015-12-07 10:00,0.941,0.023,0,0
2015-12-07 11:00,1.207,0.021,0,0
2015-12-07 12:00,1.499,0.027,0,0
2015-12-07 13:00,1.721,0.035,0,0
2015-12-07 14:00,1.853,0.026,0,0
2015-12-07 15:00,1.821,0.027,0,0
2015-12-07 16:00,1.684,0.031,0,0
2015-12-07 17:00,1.429,0.031,0,0
2015-12-07 18:00,1.065,0.033,0,0
2015-12-07 19:00,0.742,0.031,0,0
2015-12-07 20:00,0.504,0.034,0,0
2015-12-07 21:00,0.373,0.036,0,0
2015-12-07 22:00,0.404,0.029,0,0
2015-12-07 23:00,0.566,0.033,0,0
2015-12-08 00:00,0.832,0.035,0,0
2015-12-08 01:00,1.061,0.034,0,0
2015-12-08 02:00,1.265,0.052,0,0
2015-12-08 03:00,1.412,0.050,0,0
2015-12-08 04:00,1.366,0.042,0,0
2015-12-08 05:00,1.254,0.066,0,0
2015-12-08 06:00,1.073,0.039,0,0
2015-12-08 07:00,0.882,0.041,0,0
2015-12-08 08:00,0.806,0.042,0,0
2015-12-08 09:00,0.809,0.037,0,0
2015-12-08 10:00,0.948,0.052,0,0
2015-12-08 11:00,1.140,0.033,0,0
2015-12-08 12:00,1.433,0.045,0,0
2015-12-08 13:00,1.719,0.042,0,0
2015-12-08 14:00,1.911,0.036,0,0
2015-12-08 15:00,1.966,0.045,0,0
