Date Time, Water Level, Sigma, I, L 
2015-09-01 00:00,0.299,0.006,0,0
2015-09-01 01:00,0.381,0.003,0,0
2015-09-01 02:00,0.661,0.004,0,0
2015-09-01 03:00,1.066,0.007,0,0
2015-09-01 04:00,1.474,0.006,0,0
2015-09-01 05:00,1.820,0.006,0,0
2015-09-01 06:00,2.000,0.005,0,0
2015-09-01 07:00,1.895,0.005,0,0
2015-09-01 08:00,1.593,0.006,0,0
2015-09-01 09:00,1.242,0.018,0,0
2015-09-01 10:00,0.831,0.006,0,0
2015-09-01 11:00,0.451,0.005,0,0
2015-09-01 12:00,0.220,0.003,0,0
2015-09-01 13:00,0.233,0.013,0,0
2015-09-01 14:00,0.458,0.003,0,0
2015-09-01 15:00,0.826,0.011,0,0
2015-09-01 16:00,1.264,0.007,0,0
2015-09-01 17:00,1.688,0.014,0,0
2015-09-01 18:00,1.973,0.014,0,0
2015-09-01 19:00,2.056,0.008,0,0
2015-09-01 20:00,1.884,0.014,0,0
2015-09-01 21:00,1.521,0.007,0,0
2015-09-01 22:00,1.116,0.010,0,0
2015-09-01 23:00,0.742,0.010,0,0
2015-09-02 00:00,0.463,0.005,0,0
2015-09-02 01:00,0.323,0.009,0,0
2015-09-02 02:00,0.424,0.004,0,0
2015-09-02 03:00,0.711,0.008,0,0
2015-09-02 04:00,1.047,0.003,0,0
2015-09-02 05:00,1.376,0.005,0,0
2015-09-02 06:00,1.616,0.004,0,0
2015-09-02 07:00,1.747,0.006,0,0
2015-09-02 08:00,1.686,0.005,0,0
2015-09-02 09:00,1.405,0.015,0,0
2015-09-02 10:00,1.103,0.010,0,0
2015-09-02 11:00,0.776,0.006,0,0
2015-09-02 12:00,0.509,0.007,0,0
2015-09-02 13:00,0.379,0.004,0,0
2015-09-02 14:00,0.453,0.004,0,0
2015-09-02 15:00,0.692,0.006,0,0
2015-09-02 16:00,1.049,0.008,0,0
2015-09-02 17:00,1.419,0.010,0,0
2015-09-02 18:00,1.773,0.011,0,0
2015-09-02 19:00,1.985,0.006,0,0
2015-09-02 20:00,2.000,0.010,0,0
2015-09-02 21:00,1.765,0.008,0,0
2015-09-02 22:00,1.439,0.006,0,0
2015-09-02 23:00,1.126,0.020,0,0
2015-09-03 00:00,0.758,0.009,0,0
2015-09-03 01:00,0.489,0.007,0,0
2015-09-03 02:00,0.401,0.006,0,0
2015-09-03 03:00,0.491,0.005,0,0
2015-09-03 04:00,0.707,0.006,0,0
2015-09-03 05:00,0.968,0.007,0,0
2015-09-03 06:00,1.219,0.005,0,0
2015-09-03 07:00,1.440,0.004,0,0
2015-09-03 08:00,1.514,0.004,0,0
2015-09-03 09:00,1.460,0.004,0,0
2015-09-03 10:00,1.300,0.006,0,0
2015-09-03 11:00,1.066,0.005,0,0
2015-09-03 12:00,0.835,0.004,0,0
2015-09-03 13:00,0.666,0.020,0,0
2015-09-03 14:00,0.612,0.007,0,0
2015-09-03 15:00,0.696,0.007,0,0
2015-09-03 16:00,0.924,0.013,0,0
2015-09-03 17:00,1.214,0.009,0,0
2015-09-03 18:00,1.505,0.006,0,0
2015-09-03 19:00,1.778,0.007,0,0
2015-09-03 20:00,1.932,0.036,0,0
2015-09-03 21:00,1.882,0.021,0,0
2015-09-03 22:00,1.730,0.012,0,0
2015-09-03 23:00,1.449,0.008,0,0
2015-09-04 00:00,1.121,0.012,0,0
2015-09-04 01:00,0.828,0.016,0,0
2015-09-04 02:00,0.607,0.006,0,0
2015-09-04 03:00,0.483,0.005,0,0
2015-09-04 04:00,0.510,0.009,0,0
2015-09-04 05:00,0.654,0.005,0,0
2015-09-04 06:00,0.840,0.006,0,0
2015-09-04 07:00,1.058,0.005,0,0
2015-09-04 08:00,1.237,0.006,0,0
2015-09-04 09:00,1.341,0.003,0,0
2015-09-04 10:00,1.338,0.004,0,0
2015-09-04 11:00,1.237,0.005,0,0
2015-09-04 12:00,1.107,0.011,0,0
2015-09-04 13:00,0.988,0.008,0,0
2015-09-04 14:00,0.864,0.008,0,0
2015-09-04 15:00,0.826,0.009,0,0
2015-09-04 16:00,0.918,0.005,0,0
2015-09-04 17:00,1.059,0.006,0,0
2015-09-04 18:00,1.270,0.006,0,0
2015-09-04 19:00,1.513,0.006,0,0
2015-09-04 20:00,1.715,0.010,0,0
2015-09-04 21:00,1.821,0.009,0,0
