Date Time, Water Level, Sigma, I, L 
2015-12-01 00:00,0.782,0.020,0,0
2015-12-01 01:00,0.513,0.011,0,0
2015-12-01 02:00,0.316,0.020,0,0
2015-12-01 03:00,0.264,0.005,0,0
2015-12-01 04:00,0.338,0.009,0,0
2015-12-01 05:00,0.534,0.012,0,0
2015-12-01 06:00,0.775,0.007,0,0
2015-12-01 07:00,1.027,0.013,0,0
2015-12-01 08:00,1.254,0.012,0,0
2015-12-01 09:00,1.386,0.008,0,0
2015-12-01 10:00,1.428,0.008,0,0
2015-12-01 11:00,1.387,0.008,0,0
2015-12-01 12:00,1.288,0.006,0,0
2015-12-01 13:00,1.171,0.017,0,0
2015-12-01 14:00,1.068,0.021,0,0
2015-12-01 15:00,1.057,0.008,0,0
2015-12-01 16:00,1.120,0.006,0,0
2015-12-01 17:00,1.200,0.025,0,0
2015-12-01 18:00,1.318,0.012,0,0
2015-12-01 19:00,1.487,0.012,0,0
2015-12-01 20:00,1.555,0.010,0,0
2015-12-01 21:00,1.531,0.013,0,0
2015-12-01 22:00,1.413,0.009,0,0
2015-12-01 23:00,1.254,0.011,0,0
2015-12-02 00:00,1.046,0.014,0,0
2015-12-02 01:00,0.780,0.028,0,0
2015-12-02 02:00,0.548,0.016,0,0
2015-12-02 03:00,0.412,0.020,0,0
2015-12-02 04:00,0.375,0.012,0,0
2015-12-02 05:00,0.441,0.004,0,0
2015-12-02 06:00,0.601,0.006,0,0
2015-12-02 07:00,0.806,0.022,0,0
2015-12-02 08:00,1.039,0.014,0,0
2015-12-02 09:00,1.265,0.008,0,0
2015-12-02 10:00,1.414,0.012,0,0
2015-12-02 11:00,1.461,0.005,0,0
2015-12-02 12:00,1.415,0.012,0,0
2015-12-02 13:00,1.316,0.024,0,0
2015-12-02 14:00,1.223,0.008,0,0
2015-12-02 15:00,1.101,0.025,0,0
2015-12-02 16:00,1.035,0.010,0,0
2015-12-02 17:00,1.027,0.010,0,0
2015-12-02 18:00,1.072,0.012,0,0
2015-12-02 19:00,1.167,0.021,0,0
2015-12-02 20:00,1.256,0.008,0,0
2015-12-02 21:00,1.347,,0,0
2015-12-02 22:00,1.382,0.008,0,0
2015-12-02 23:00,1.335,0.009,0,0
2015-12-03 00:00,1.194,0.010,0,0
2015-12-03 01:00,1.028,0.006,0,0
2015-12-03 02:00,0.847,0.009,0,0
2015-12-03 03:00,0.662,0.005,0,0
2015-12-03 04:00,0.540,0.004,0,0
2015-12-03 05:00,0.508,0.004,0,0
2015-12-03 06:00,0.555,0.005,0,0
2015-12-03 07:00,0.697,0.007,0,0
2015-12-03 08:00,0.930,0.008,0,0
2015-12-03 09:00,1.166,0.005,0,0
2015-12-03 10:00,1.379,0.008,0,0
2015-12-03 11:00,1.533,0.005,0,0
2015-12-03 12:00,1.570,0.010,0,0
2015-12-03 13:00,1.552,0.012,0,0
2015-12-03 14:00,1.446,0.004,0,0
2015-12-03 15:00,1.280,0.031,0,0
2015-12-03 16:00,1.136,0.005,0,0
2015-12-03 17:00,1.031,0.008,0,0
2015-12-03 18:00,0.989,0.009,0,0
2015-12-03 19:00,1.003,0.020,0,0
2015-12-03 20:00,1.066,0.007,0,0
2015-12-03 21:00,1.158,0.010,0,0
2015-12-03 22:00,1.244,0.010,0,0
2015-12-03 23:00,1.302,0.008,0,0
2015-12-04 00:00,1.315,0.006,0,0
2015-12-04 01:00,1.257,0.006,0,0
2015-12-04 02:00,1.109,0.004,0,0
2015-12-04 03:00,0.914,0.005,0,0
2015-12-04 04:00,0.759,0.009,0,0
2015-12-04 05:00,0.632,0.012,0,0
2015-12-04 06:00,0.613,0.006,0,0
2015-12-04 07:00,0.690,0.010,0,0
2015-12-04 08:00,0.848,0.012,0,0
2015-12-04 09:00,1.053,0.012,0,0
2015-12-04 10:00,1.283,0.012,0,0
2015-12-04 11:00,1.498,0.013,0,0
2015-12-04 12:00,1.649,0.011,0,0
