OBJECTID,FIRST_DIST,FIRST_Z
1,0,5.6428
2,0.99922917,5.6345
3,1.998458342,5.6697
4,2.997687513,5.7298
5,3.996916686,5.7491
6,4.996145857,5.5999
7,5.995375027,5.2348
8,6.994604198,4.9782
9,7.993833368,4.8413
10,8.993062538,4.7647
11,9.992291709,4.6937
12,10.99152088,4.6293
13,11.99075005,4.5737
14,12.98997923,4.5185
15,13.9892084,4.4743
16,14.98843757,4.4369
17,15.98766673,4.407
18,16.98689591,4.3799
19,17.98612508,4.3527
20,18.98535425,4.3194
21,19.98458342,4.2764
22,20.98381259,4.2519
23,21.98304176,4.226
24,22.98227093,4.1998
25,23.9815001,4.1715
26,24.98072928,4.1396
27,25.97995844,4.1083
28,26.97918762,4.0869
29,27.97841679,4.058
30,28.97764596,4.0261
31,29.97687513,3.9985
32,30.9761043,3.9782
33,31.97533347,3.9602
34,32.97456264,3.9459
35,33.97379181,3.9283
36,34.97302098,3.9194
37,35.97225016,3.9184
38,36.97147932,3.9158
39,37.97070849,3.9157
40,38.96993767,3.9067
41,39.96916684,3.9103
42,40.96839601,3.9102
43,41.96762518,3.921
44,42.96685435,3.9332
45,43.96608352,3.9406
46,44.96531269,3.9557
47,45.96454186,3.973
48,46.96377103,3.9862
49,47.96300021,4.0003
50,48.96222938,4.0285
51,49.96145855,4.0269
52,50.96068772,4.0414
53,51.95991689,4.065
54,52.95914606,4.0792
55,53.95837523,4.0865
56,54.9576044,4.094
57,55.95683357,4.1014
58,56.95606274,4.1172
59,57.95529191,4.1304
60,58.95452108,4.1359
61,59.95375026,4.1525
62,60.95297943,4.1765
63,61.9522086,4.186
64,62.95143777,4.1784
65,63.95066694,4.1819
66,64.94989611,4.1857
67,65.94912528,4.1956
68,66.94835445,4.1935
69,67.94758362,4.1823
70,68.94681279,4.175
71,69.94604196,4.1708
72,70.94527114,4.1702
73,71.94450031,4.1757
74,72.94372948,4.1539
75,73.94295865,4.1231
76,74.94218782,4.0885
77,75.94141699,4.0457
78,76.94064616,3.9876
79,77.93987533,3.9182
80,78.9391045,3.8739
81,79.93833367,3.8205
82,80.93756284,3.7754
83,81.93679202,3.76
84,82.93602119,3.731
85,83.93525036,3.716
86,84.93447953,3.7134
87,85.9337087,3.6635
88,86.93293787,3.577
89,87.93216704,3.4345
90,88.93139621,3.2981
91,89.93062539,3.1819
92,90.92985455,3.0816
93,91.92908373,2.9852
94,92.9283129,2.9268
95,93.92754207,2.8493
96,94.92677124,2.7872
97,95.92600041,2.7502
98,96.92522958,2.7593
99,97.92445875,2.7708
100,98.92368792,2.7696
101,99.92291709,2.7597
102,100.9221463,2.7517
103,101.9213754,2.7443
104,102.9206046,2.75
105,103.9198338,2.7613
106,104.9190629,2.7696
107,105.9182921,2.7271
108,106.9175213,2.6495
109,107.9167505,2.5481
110,108.9159796,2.3686
111,109.9152088,2.1456
112,110.914438,1.9261
113,111.9136671,1.7694
114,112.9128963,1.6458
115,113.9121255,1.4981
116,121.9059589,0.4941
117,122.905188,0.477
118,123.9044172,0.4347
119,124.9036464,0.3488
120,125.9028755,0.236
121,126.9021047,0.1324
122,127.9013339,0.0717
123,128.9005631,0.0039
124,129.8997922,-0.0461
125,130.8990214,-0.0925
126,131.8982506,-0.1675
127,132.8974797,-0.3031
128,133.8967089,-0.4248
129,134.8959381,-0.4963
130,135.8951672,-0.5412
131,136.8943964,-0.527
132,137.8936256,-0.5229
133,138.8928548,-0.5434
134,139.8920839,-0.6763
135,140.8913131,-0.7205
136,141.8905423,-0.7402
137,142.8897714,-0.7385
138,143.8890006,-0.7538
139,144.8882298,-0.7786
140,145.887459,-0.7685
141,146.8866881,-0.7287
142,147.8859173,-0.75
143,148.8851465,-0.7883
144,149.8843756,-0.8222
145,0,4.6503
146,0.99922917,4.8179
147,1.998458342,4.9989
148,2.997687512,5.232
149,3.996916684,5.4735
150,4.996145856,5.6037
151,5.995375028,5.5628
152,6.994604198,5.3308
153,7.99383337,4.9979
154,8.99306254,4.7978
155,9.99229171,4.6712
156,10.99152088,4.5922
157,11.99075005,4.522
158,12.98997922,4.4719
159,13.9892084,4.4376
160,14.98843757,4.4038
161,15.98766674,4.3699
162,16.98689591,4.3503
163,17.98612508,4.3359
164,18.98535425,4.3139
165,19.98458342,4.2791
166,20.98381259,4.2407
167,21.98304176,4.2148
168,22.98227093,4.1842
169,23.9815001,4.1483
170,24.98072927,4.1198
171,25.97995845,4.1005
172,26.97918762,4.086
173,27.97841679,4.0524
174,28.97764596,4.026
175,29.97687513,4.0049
176,30.9761043,3.974
177,31.97533347,3.9403
178,32.97456264,3.9168
179,33.97379181,3.894
180,34.97302098,3.8519
181,35.97225015,3.8128
182,36.97147933,3.7785
183,37.9707085,3.7531
184,38.96993767,3.7305
185,39.96916684,3.709
186,40.96839601,3.6989
187,41.96762518,3.7068
188,42.96685435,3.703
189,43.96608352,3.7044
190,44.96531269,3.7011
191,45.96454186,3.7057
192,46.96377104,3.7064
193,47.96300021,3.7091
194,48.96222938,3.7094
195,49.96145855,3.7106
196,50.96068772,3.7072
197,51.95991689,3.7063
198,52.95914606,3.7169
199,53.95837523,3.7352
200,54.9576044,3.7399
201,55.95683357,3.7573
202,56.95606275,3.7812
203,57.95529192,3.8052
204,58.95452108,3.8281
205,59.95375026,3.8506
206,60.95297943,3.8695
207,61.9522086,3.8725
208,62.95143777,3.8766
209,63.95066694,3.8733
210,64.94989611,3.8739
211,65.94912528,3.8656
212,66.94835445,3.8685
213,67.94758362,3.8832
214,68.94681279,3.8946
215,69.94604197,3.899
216,70.94527114,3.9102
217,71.94450031,3.9182
218,72.94372948,3.912
219,73.94295865,3.9056
220,74.94218782,3.9032
221,75.94141699,3.9158
222,76.94064616,3.9286
223,77.93987533,3.9058
224,78.9391045,3.8448
225,79.93833368,3.7888
226,80.93756285,3.7296
227,81.93679202,3.6734
228,82.93602119,3.6091
229,83.93525036,3.5194
230,84.93447953,3.4025
231,85.9337087,3.2349
232,86.93293787,3.0763
233,87.93216704,2.978
234,88.93139621,2.893
235,89.93062539,2.8147
236,90.92985456,2.7518
237,91.92908373,2.6974
238,92.9283129,2.6376
239,93.92754207,2.6125
240,94.92677124,2.5986
241,95.92600041,2.5898
242,96.92522958,2.6175
243,97.92445875,2.6811
244,98.92368792,2.6962
245,99.9229171,2.7221
246,100.9221463,2.7709
247,101.9213754,2.8016
248,102.9206046,2.8326
249,103.9198338,2.854
250,104.9190629,2.8809
251,105.9182921,2.9113
252,106.9175213,2.9403
253,107.9167505,2.9521
254,108.9159796,2.9158
255,109.9152088,2.784
256,110.914438,2.5978
257,111.9136671,2.398
258,112.9128963,2.2089
259,113.9121255,2.0031
260,114.9113547,1.8248
261,115.9105838,1.6977
262,116.909813,1.5766
263,117.9090422,1.4556
264,118.9082713,1.3341
265,119.9075005,1.2082
266,120.9067297,1.0793
267,121.9059589,0.9539
268,122.905188,0.8692
269,123.9044172,0.8249
270,124.9036464,0.7693
271,125.9028755,0.6949
272,126.9021047,0.6052
273,127.9013339,0.4865
274,128.9005631,0.3431
275,129.8997922,0.2203
276,130.8990214,0.1476
277,131.8982506,0.0884
278,132.8974797,-0.0264
279,133.8967089,-0.0815
280,134.8959381,-0.1522
281,135.8951672,-0.2413
282,136.8943964,-0.2941
283,137.8936256,-0.3042
284,138.8928548,-0.3263
285,139.8920839,-0.361
286,140.8913131,-0.4053
287,141.8905423,-0.4114
288,142.8897714,-0.4395
289,143.8890006,-0.4713
290,144.8882298,-0.4911
291,145.887459,-0.4997
292,146.8866881,-0.5463
293,147.8859173,-0.604
294,148.8851465,-0.6235
295,149.8843756,-0.6507
296,0,4.2512
297,0.999229168,4.2789
298,1.998458342,4.3159
299,2.997687513,4.2931
300,3.996916681,4.2172
301,4.996145854,4.0926
302,5.995375023,4.0413
303,6.994604196,4.0723
304,7.993833366,4.384
305,8.99306254,4.7365
306,9.992291707,4.8845
307,10.99152088,4.9008
308,11.99075005,4.9197
309,12.98997922,5.0246
310,13.98920839,5.2126
311,14.98843756,5.3626
312,15.98766673,5.4511
313,16.98689591,5.4933
314,17.98612508,5.5233
315,18.98535424,5.526
316,19.98458342,5.4482
317,20.98381259,5.1678
318,21.98304176,4.9977
319,22.98227093,4.8557
320,23.9815001,4.7374
321,24.98072927,4.6403
322,25.97995844,4.5647
323,26.97918762,4.494
324,27.97841678,4.4557
325,28.97764596,4.4182
326,29.97687513,4.384
327,30.9761043,4.3526
328,31.97533347,4.3356
329,32.97456264,4.3043
330,33.97379181,4.2747
331,34.97302098,4.2497
332,35.97225015,4.2219
333,36.97147932,4.1859
334,37.97070849,4.1558
335,38.96993766,4.1362
