Difference,Cross Section 1,Cross Section 2,Cross Section 3,Cross Section 4,Cross Section 5,Cross Section 6,Cross Section 7,Cross Section 8,Cross Section 9,Cross Section 10,Cross Section 11,Cross Section 12,Cross Section 13,Cross Section 14,Cross Section 15,Cross Section 16,Cross Section 17,Cross Section 18,Cross Section 19,Cross Section 20,Cross Section 21,Cross Section 22,Cross Section 23,Cross Section 24,Cross Section 25
DEM 2,15.51223634,13.49232221,1.270442699,-11.47453511,-23.16243256,-24.73878763,-24.83103329,-22.53407682,-16.59450272,-6.059820587,-0.760935081,-4.944610797,-5.264265258,-9.021507122,-11.99216586,-13.73569378,-20.80180856,-20.56886135,-19.46804472,-12.85749513,0.589097976,8.984559991,21.1685964,34.47879769,43.5477088
DEM 3,-8.76070221,-7.863097207,-4.396593719,-2.217547004,1.885109242,2.171431078,-0.657768804,-4.138315667,-9.145402247,-15.45570697,-16.41240786,-15.52065752,-14.73291276,-11.97838843,-3.528328652,0.565750539,-2.32815425,-6.822947972,-14.65849552,-25.65467383,-33.14447638,-42.07737455,-46.73036478,-30.75474605,-18.26021639
DEM 4,5.517682917,7.978457534,6.563117883,0.186351564,-1.748647166,-2.925572546,-1.807719277,-3.522216503,-5.65721726,-5.26746493,-4.902823305,-6.324955496,-10.31721831,-17.85234822,-22.31192393,-30.81431037,-36.31136585,-37.25053315,-31.77060473,-16.79782793,-14.32015039,-2.513907027,-3.425276538,4.324608815,9.521171924
DEM 5,-9.959366899,-5.477994428,-4.328229698,-0.892470808,5.202471679,4.747986746,1.375825201,-1.907858699,-6.159859725,-13.08218722,-15.65479137,-15.23575911,-13.15818004,-7.955025164,0.091487412,4.80108558,0.465067846,-6.208145514,-13.77703312,-22.32055571,-27.3067735,-32.66305374,-34.6386817,-22.12235674,-11.99802341
DEM 6,1.970157446,-5.529696131,-10.52694805,-15.0997981,-18.72203595,-18.42376357,-16.46233633,-11.96333118,-5.437900606,2.654477481,9.17606924,6.025605472,-1.39955296,-7.1343102,-22.31485634,-36.17995173,-33.29006483,-29.5952309,-20.28060613,-12.01878015,1.702377015,11.02513839,18.53390216,29.85699756,35.27759277
DEM 7,-12.21180341,-10.93212631,-7.434957017,-5.093513031,-2.098646547,-0.275673965,-0.23304178,-0.406429774,-2.864660461,-7.998956546,-9.990384433,-11.39636526,-10.77725261,-7.133912536,0.448706588,5.296630481,3.848171425,2.311837128,-1.656988425,-9.834350031,-18.56877353,-23.5343532,-20.88567582,-5.454279849,9.257561749
DEM 8,13.19930841,8.979297873,0.385818159,-8.068203514,-11.30546571,-11.87008406,-10.6108599,-6.231828274,-1.623713832,2.583579165,5.176945465,1.33034566,-4.390530658,-10.65227913,-14.4883772,-18.27731555,-20.42295171,-16.64629594,-8.950856119,0.531789142,8.495572536,15.60345129,22.25667891,32.42180168,38.50654102
DEM 9,-0.268092534,-2.36500589,-2.206007829,-0.688354076,3.074224933,3.105242814,1.435128265,0.171229058,-1.834285564,-2.830502894,-4.518956473,-7.232095124,-6.400157613,-4.520821818,0.504072389,5.441538705,5.952393327,5.856416777,4.155195051,0.076307389,-3.011477153,-4.593342197,-5.220134339,6.096146432,17.27132534
DEM 10,8.889144723,9.940191544,10.15624775,10.15429419,2.235819771,-3.944104827,-8.193011869,-7.567836512,-2.400715421,5.651262474,7.906184856,4.464347663,-0.24612745,-5.376931523,-8.953163473,-7.213492877,-7.065857049,-2.356690108,1.05414451,5.526656159,12.75210805,16.73757724,24.49284634,32.70650651,41.06052645
DEM 11,-5.478976616,-1.142111623,2.937108838,9.224441592,11.32742583,10.7435663,9.350892251,8.482528703,4.791966128,-2.922934435,-4.019673248,-1.974030228,-1.285328393,1.900662156,11.84474876,19.22888936,21.83652301,20.40649875,16.81773758,7.587049202,-6.041208269,-12.23065234,-4.806229914,13.85345719,29.37055009
