Difference,Cross Section 1,Cross Section 2,Cross Section 3,Cross Section 4,Cross Section 5,Cross Section 6,Cross Section 7,Cross Section 8,Cross Section 9,Cross Section 10,Cross Section 11,Cross Section 12,Cross Section 13,Cross Section 14,Cross Section 15,Cross Section 16,Cross Section 17,Cross Section 18,Cross Section 19,Cross Section 20,Cross Section 21,Cross Section 22,Cross Section 23,Cross Section 24,Cross Section 25
DEM 1 1997 Sep,5.917594148,NaN,15.45020982,NaN,NaN,NaN,25.91391694,19.13071531,NaN,NaN,NaN,NaN,NaN,NaN,3.027372294,-0.301568032,4.896370652,4.88705827,NaN,29.3083994,38.48576222,45.39302439,NaN,47.20162055,NaN
DEM 2 1998 April,-15.40351624,13.54238962,2.314377409,12.15575,24.21677383,26.48774115,24.72589062,22.12275194,18.26452127,6.635531784,0.832230415,5.549757106,6.080848521,9.995588849,14.26695177,15.80466379,23.82988208,22.37013984,20.20988198,13.10357299,-2.081060088,-11.85318842,-23.57354182,-42.26807163,-51.729632
DEM 3 2004 Sep,8.869422317,-7.813029798,-3.352659009,2.898761901,-0.83076797,-0.422477559,0.552626133,3.726990789,10.8154208,16.03141817,16.48370319,16.12580383,15.54949602,12.95247016,5.803114564,1.503219463,5.356227771,8.624226464,15.40033277,25.9007517,31.65251426,39.20874612,44.32541936,22.96547212,10.07829319
DEM 4  2005 April,-5.40896281,8.028524943,7.607052594,0.494863332,2.802988438,4.674526065,1.702576607,3.110891625,7.327235809,5.843176128,4.974118639,6.930101805,11.13380157,18.82642995,24.58670985,32.88328037,39.33943937,39.05181164,32.51244198,17.0439058,12.82818827,-0.354721403,1.020331115,-12.11388275,-17.70309512
DEM 5 2005 Oct,10.06808701,-5.427927019,-3.284294987,1.573685705,-4.148130407,-2.999033227,-1.480967872,1.496533821,7.829878275,13.65789841,15.7260867,15.84090542,13.9747633,8.929106891,2.1832985,-2.732115578,2.563005675,8.009424006,14.51887037,22.56663358,25.81481139,29.79442531,32.23373628,14.33308281,3.816100211
DEM 6 2006 Mar,-1.861437339,-5.479628722,-9.483013338,15.78101299,19.77637722,20.17271709,16.35719366,11.5520063,7.107919156,-2.078766284,-9.104773906,-5.420459162,2.216136222,8.108391927,24.58964225,38.24892173,36.31813835,31.39650939,21.02244338,12.26485802,-3.194339127,-13.89376681,-20.93884759,-37.6462715,-43.45951597
DEM 7 2006 Oct,12.32052351,-10.8820589,-6.391022307,5.774727928,3.15298782,2.024627484,0.12789911,-0.004895104,4.534679011,8.574667743,10.06167977,12.00151157,11.59383587,8.107994263,1.826079324,-3.22766048,-0.820097904,-0.510558636,2.398825676,10.0804279,17.07681142,20.66572477,18.48073039,-2.334994084,-17.43948495
DEM 8 2007 Apr,-13.0905883,9.029365283,1.429752869,8.749418411,12.35980698,13.61903758,10.50571723,5.820503396,3.293732381,-2.007867968,-5.105650131,-0.725199351,5.20711392,11.62636086,16.76316312,20.34628555,23.45102523,18.44757443,9.69269337,-0.285711274,-9.987534647,-18.47207972,-24.66162433,-40.21107562,-46.68846422
DEM 9 2007 Dec,0.376812641,-2.31493848,-1.162073119,1.369568973,-2.019883661,-1.356289295,-1.540270936,-0.582553936,3.504304113,3.406214092,4.590251807,7.837241433,7.216740876,5.494903545,1.770713523,-3.372568704,-2.924319807,-4.055138285,-3.413357799,0.169770479,1.519515041,1.724713768,2.815188915,-13.88542037,-25.45324854
DEM 10 2008 Apr,-8.780424616,9.990258954,11.20018246,-9.473079291,-1.181478498,5.693058346,8.087869199,7.156511634,4.070733971,-5.075551276,-7.834889522,-3.859201353,1.062710712,6.35101325,11.22794938,9.282462879,10.09393057,4.1579686,-0.312307258,-5.280578292,-14.24407017,-19.60620567,-26.89779176,-40.49578044,-49.24244965
