Difference,Cross Section 1,Cross Section 2,Cross Section 3,Cross Section 4,Cross Section 5,Cross Section 6,Cross Section 7,Cross Section 8,Cross Section 9,Cross Section 10,Cross Section 11,Cross Section 12,Cross Section 13,Cross Section 14,Cross Section 15,Cross Section 16,Cross Section 17,Cross Section 18,Cross Section 19,Cross Section 20,Cross Section 21,Cross Section 22,Cross Section 23,Cross Section 24,Cross Section 25
DEM 1 1997 Sep,4.219481795,NaN,26.2033786,NaN,NaN,NaN,23.55737934,16.076927,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,60.3058164,NaN,NaN,NaN,92.77482511,47.41738526,NaN
DEM 2 1998 April,-17.65780403,13.19130091,3.591769039,10.86828688,23.73547895,26.34541939,25.02126357,21.25640327,14.29925242,2.77145801,-1.649440004,4.150366244,6.258235547,9.168329143,15.12886904,15.43760744,24.34889482,21.37362045,17.5348872,15.66475081,1.538997816,-10.21229442,-35.92522158,-46.85895761,-53.27552164
DEM 3 2004 Sep,17.39281775,-15.08646998,-10.70538475,9.111865793,2.444858786,1.649662084,1.647345808,5.506408837,12.25751563,21.51121448,21.77565285,22.4193721,17.23794623,12.93364735,5.571053462,4.657094975,4.341113809,6.019751298,11.09069976,26.93443627,49.05147132,38.81879157,31.52896297,19.88618526,15.20759829
DEM 4  2005 April,-3.333258344,11.46091552,9.539611141,-0.541602006,2.264292736,4.592029773,1.523428046,4.202637506,6.781975877,9.188694488,5.131199463,5.977930261,9.134432599,17.78181723,24.59571612,33.47588327,39.95845755,38.31147048,30.21043568,17.21351132,13.6062076,0.265126295,-10.6851701,-17.08543947,-19.28648578
DEM 5 2005 Oct,20.68725876,-14.35118547,-6.581971954,4.456240165,-3.310895848,-2.764981003,-0.055780146,6.123845728,9.608017773,16.00273518,18.83393156,18.04398356,15.42776838,8.089033183,0.640703316,-5.541513113,0.857983449,5.355798067,9.424350034,23.07799484,26.06557753,29.04687612,19.57897111,9.178219954,3.544171785
DEM 6 2006 Mar,-6.840525863,-0.489059269,-4.50180298,12.37138857,17.69655427,18.18072031,14.56927439,10.95588532,2.121679774,-7.147610454,-12.4840229,-7.659580872,-0.382444764,4.847135185,23.0849934,36.70677852,35.30992349,30.04108932,17.03309289,13.65890415,-2.485299326,-12.88726298,-33.40779667,-43.71794275,-45.1016569
DEM 7 2006 Oct,16.28195074,-13.24343231,-8.389389762,7.008615308,0.30624534,-1.698882032,-2.95134319,-1.652271114,2.178693709,12.26027798,14.11301343,14.70757258,11.56844773,6.747559575,-0.374802596,-5.769605444,-2.882904315,-3.164469482,-3.074781012,9.842679688,17.15041626,19.32821206,4.213693654,-8.957842064,-19.25643948
DEM 8 2007 Apr,-16.20696518,12.00232924,5.999238666,4.987448846,10.92649316,12.95695048,10.01763278,5.364146658,-0.215704797,-5.500187338,-5.555516997,-2.270231465,3.128838379,10.06151397,14.76706086,18.39825082,22.48855487,16.87222945,6.496558474,1.165861305,-7.94823438,-17.51013802,-36.33604674,-45.24943869,-47.45670509
DEM 9 2007 Dec,-2.0179125,-1.591654348,-0.05467343,1.614176578,-3.617653792,-4.571408043,-4.281222774,-2.98025868,0.354177746,1.245688252,1.74677884,4.753447379,3.784731881,2.761377893,0.122739369,-5.905659662,-4.395692655,-6.624613461,-8.835518985,0.439820793,1.867500428,1.307465841,-10.87497369,-20.90100029,-27.92760027
DEM 10 2008 Apr,-12.45682884,14.29283474,15.69251467,-11.41098847,-3.039613954,3.649062249,5.677078336,4.565903896,0.118803662,-8.646561145,-11.2085196,-6.735666884,-1.934141746,4.406769103,9.653064991,7.083978171,8.492941717,2.233280841,-5.397935285,-5.041265338,-14.38159105,-19.82598672,-40.55672631,-47.10168762,-50.81881736
DEM 11 2008 Oct,23.46780794,-16.77366733,-4.724701779,-9.743197137,-10.60508456,-10.31471062,-11.05707487,-3.861051969,6.76106363,14.33354408,12.94631644,12.26674744,7.393784611,0.214199359,-10.2475859,-19.24573011,-20.18772495,-20.735007,-20.78226288,-6.988203642,4.586609357,10.53937454,-9.398133137,-23.82194549,-31.74923003
DEM 12 2009 Mar,-16.73902576,14.93857251,13.9811398,-9.002815115,-6.163454836,-4.17826698,-6.062109651,-4.657441682,-6.872487087,-13.32868331,-14.21557065,-12.92328933,-8.214070102,-3.350930225,6.025492257,6.244474535,4.481768257,-1.604877742,-6.285584675,-8.544379365,-16.89122944,-25.6892947,-40.24341346,-47.57162608,-47.5179398
DEM 13 2009 Dec,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-8.450967307,NaN,NaN,-9.037500969,-15.87680719,-17.82150133,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
DEM 14 2009 Dec,2.501216673,-1.676807655,2.721365941,-6.847655102,-7.219722494,-11.4905495,-13.21262857,-11.99213357,-9.540245232,NaN,NaN,NaN,NaN,NaN,-18.05990342,NaN,NaN,NaN,NaN,NaN,-7.977647986,6.720609701,28.25420781,60.72229463,79.88199573
DEM 15 ?,2.606377609,-1.907329084,2.444411725,-6.014159196,-9.792816246,-11.47914433,-12.90183505,-11.88557609,-10.08691513,-5.428267269,-1.739321635,-4.032246961,-10.95689831,-18.08571801,-18.31945938,-19.80109528,-21.46650474,-24.10655599,-25.87199974,-14.80892404,-8.002620408,6.916037981,28.68414711,60.81387895,80.59928182
DEM 16 ?,2.628316554,-1.864335847,2.523429759,-6.03544679,-9.79457322,-11.44421161,-12.88194334,-11.84689011,-7.796351833,-5.372665492,-1.755783911,-4.053092558,-10.87716766,-18.07094451,-18.33101297,-19.84889982,-21.37319673,-24.09684199,-25.88988224,-14.81083739,-8.008581227,6.975260195,28.5450204,60.94391563,80.53939887
DEM 17 ?,2.495274919,-1.640194014,2.800233124,-6.49131721,-9.951927872,-11.56776845,-13.22454104,-11.75892055,-5.542615846,-5.55520508,-1.988195176,-4.150189235,-10.92363891,-18.16257155,-18.42154794,-19.9808231,-21.51953785,-24.31456346,-25.94160037,-14.90356354,-8.165728936,6.437436811,27.841406,60.33538506,79.84627695
DEM 18 ?,2.794131492,-2.240121683,1.841531039,-5.780244559,-9.470873047,-11.01115572,-12.48703191,-11.61879792,-7.541430538,-5.219243429,-1.229244559,-3.791189198,-10.7354614,-17.82750835,-18.19056507,-19.20157602,-21.21201228,-23.97507975,-25.52813501,-14.55816432,-7.793594789,8.137464626,29.48742166,61.97399371,81.22548799
DEM 19 2014 Sep,-14.03355236,NaN,0.754881358,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1.370331028,NaN,NaN,-16.79972665,NaN,NaN,-12.91552135,NaN,0.19510334,NaN,NaN,NaN
